t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
4,5966,0.87,0.0,1,0.08928571428571429,0.0,0.08928571428571429,0.0,0.0,1.0,0.87,0,0,0.0,-4.537125026924133,"('none', 'none', 'none')",TRAIN30
5,5966,0.87,0.0,1,0.09615384615384616,0.0,0.09615384615384616,0.0,0.0,1.0,0.87,0,0,0.0,-4.471109180877701,"('none', 'none', 'none')",TRAIN30
6,383,0.87,0,1,0.08333333333333333,0,0.08333333333333333,0.0,0,0.0,0,0,0,0.0,0,"('none', 'none', 'none')",TRAIN30
1,5998,0.57,90.0,1,0.08823529411764706,90.0,0.08823529411764706,7.9411764705882355,153.9,3.0,1.71,0,0,0.0,-121.09062028703299,"('swap', '21', '#6')",TRAIN31
2,5812,0.57,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.71,0,0,0.0,-12.381821280236792,"('swap', '9', '#4')",TRAIN31
3,1056,0.57,0.0,1,0.1,0.0,0.1,0.0,0.0,3.5087719298245617,2.0,2,1,0.0,-15.0,"('swap', '7', '#2')",TRAIN31
4,1232,0.57,0.0,2,0.19642857142857142,0.0,0.39285714285714285,0.0,0.0,1.7543859649122808,1.0,1,1,0.0,-10.0,"('swap', '12', '#2')",TRAIN31
5,1058,0.57,0,2,0.28846153846153844,0,0.8653846153846153,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '10', '#2')",TRAIN31
1,5998,0.79,0,1,0.27941176470588236,0,0.27941176470588236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"('swap', '17', '#3')",TRAIN32
2,5998,0.79,0,1,0.25,0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"('none', 'none', 'none')",TRAIN32
3,5998,0.79,0,1,0.2,0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,"('none', 'none', 'none')",TRAIN32
4,5998,0.79,0,1,0.17857142857142858,0,0.17857142857142858,0.0,0,0.0,0,0,0,0.0,0.0,"('none', 'none', 'none')",TRAIN32
5,624,0.79,0,1,0.11538461538461539,0,0.11538461538461539,0.0,0,0.0,0,0,0,0.0,0,"('none', 'none', 'none')",TRAIN32
1,5998,0.83,45.0,2,0.3382352941176471,135.0,0.6764705882352942,65.51470588235294,37.35,1.0,0.83,0,0,0.0,-52.387785365324504,"('swap', '5', '#5')",TRAIN33
2,5998,0.83,0.0,2,0.296875,0.0,0.59375,0.0,0.0,1.0,0.83,0,0,0.0,-17.958727536294028,"('swap', '16', '#3')",TRAIN33
3,5996,0.83,0.0,2,0.36666666666666664,0.0,1.0999999999999999,0.0,0.0,1.0,0.83,0,0,0.0,-18.888823513359057,"('none', 'none', 'none')",TRAIN33
